globalSpinIndex,baseSpinIndex,state,outcomeId,type,winAmount,triggeredFeatureId,patternSource,winConditionType,generatedWinLine,anchorsCount,visualRequestedType,visualAppliedType,visualApplied,visualPaylinesChosen,visualAttemptsUsed,visualGuardFailReason,visualSeed,teaseEligible,teaseChanceUsed,teaseRoll,teaseBlockedBy,visualGuardFailDetail,visualAttemptReasons,expectedWinAmount,evaluatedWinAmount,evaluationMatch,evaluatedEventCount,evaluatedRuleTypes,eventsJson
1,1,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,2,,774746190,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,
2,2,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,707739437,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
3,3,BASE,NEAR_MISS_1,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,3|0,1,,1483862222,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
4,4,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,573725931,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
5,5,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,506719178,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
6,6,BASE,SMALL_WIN,WIN,2,,GENERATED,LINE,0,3,NONE,NONE,false,,10,,182950348,true,0.08,0.08747927728109062,CHANCE_MISS,,ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;ANTI_EXTEND_VIOLATION;MAX_RETRIES,2,2,true,1,LINE,"[{""eventId"":""LINE_0_L1_4"",""ruleType"":""LINE"",""winAmount"":2,""paidSymbolId"":""L1"",""displaySymbolId"":""L1"",""positions"":[[0,0],[0,1],[0,2],[0,3]],""matchCount"":4,""paylineIndex"":0,""metadata"":{}}]"
7,7,BASE,NEAR_MISS_2,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,3,3,,925134345,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_2;ACCIDENTAL_WIN_PAYLINE_0;SUCCESS,0,0,true,0,,
8,8,BASE,NEAR_MISS_2,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,2|0,3,,574334408,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_4;ACCIDENTAL_WIN_PAYLINE_2;SUCCESS,0,0,true,0,,
9,9,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,238692166,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
10,10,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,362477390,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
11,11,BASE,NEAR_MISS_1,LOSS,0,,NONE,,,0,NEAR_MISS,NEAR_MISS,true,2,1,,168790515,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
12,12,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,4,,496490896,false,0,,NOT_ELIGIBLE,,ACCIDENTAL_WIN_PAYLINE_3;ACCIDENTAL_WIN_PAYLINE_3;ACCIDENTAL_WIN_PAYLINE_1;SUCCESS,0,0,true,0,,
13,13,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,563497649,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
14,14,BASE,LOSS,LOSS,0,,NONE,,,0,NONE,NONE,false,,1,,630504402,false,0,,NOT_ELIGIBLE,,SUCCESS,0,0,true,0,,
